Name,Acronym,Email,Bounce Check,Site,University,RAG,First Email,From,Reply,Interested?
St. Peter's Bach Consort,SPBC,spbconsort@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
SPEAK Group,,speak@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Sports for Fun,CUSFF,sportsforfun@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Social & Political Sciences Society,CU-SPS-Soc,spssoc@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Sri Lanka Society,CUSLSOC,srilanka@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
STIMULUS,STIMULUS,stimulus@hermes.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Cambridge Stop AIDS Society,,stopaids@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Strategic Analysis Group,CUSAG,strategicanalysis@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Streetbite,,streetbite@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Cambridge University Student Life Society,,studentlife@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Student Minds Cambridge,,studentmindscambridge@gmail.com,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Cambridge Students for Life,CSFL,studentsforlife@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Cambridge Psychology Recruitment Group,,study@psychol.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Korean Society,CUKS,support@cuks.org.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Surfing Association,CUSA,surfing@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Surgical Society,CUSS,surgsoc@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Cambridge University Synthetic Biology Society,,synbiosoc@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Table Tennis Club,CUTTC,tabletennis@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Cambridge Taiwanese Society,CTS,taiwan@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Tajikistan Society,TajSoc,tajsoc@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Tamil Society,CUTSOC,tamilsoc@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
TCS,,tcs@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Tea Society,TeaSoc,teasoc@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Televisual Arts Group,,televisualarts@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
The Beard Society,,thebeardsociety@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Trinity Hall Medical & Veterinary Society,THMVS,thmvs@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Tiddlywinks Club,CUTwC,tiddlywinks@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Marathon Effort for Muscular Dystrophy,,tina.paciorek@gmail.com,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Trinity Mathematical Society,TMS,tms@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Tolkien Socety,CTS,tolkien@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Trendflux Online Magazine Writer's Society,TrendSoc,trendfluxsoc@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Triathlon Club,CUTriC,triathlon@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Trinity College's LGBT+ Society 1TQ,,trinitylbgt@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Trinity College Medical Society,TrinityMedSoc,trinitymedsoc@hotmail.com,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Trinity Politics Society,TPS,trinpolsoc@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Trinity College Science Society,TCSS,trinscisoc@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Trinity Singers,,trinsin@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
The Triple Helix,TTH,tth@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Turkish Society,CUTS,turkish@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Ukrainian Society,CUUS,ukraine@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Ultimate Club,CUUC,ultimate-president@srcf.ucam.org,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Cambridge Union Society,CUS,unionsociety@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Unite Against Fascism,UAF,uniteagainstfascism@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Varsity Trip,VT,varsitytrip@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Vegan Society,VeganSoc ,vegansociety@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Veterinary Society,CUVS,vets@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
The Vietnamese Society in Cambridge,VSC,vsc@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Wakeboard Club,CUWC,wakeboardsoc@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Wolfson College Boat Club,WCBC,wcbc@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
West Coast Swing Society,CUWCS,wcssoc@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Weevil Magazine,,weevil@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
CUSU Welfare,,welfare@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Wikipedia Society,CUWPS,wikipedia@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Windsurfing Club,CUW,windsurfing@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Wine Society,CUWS,wine@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Wolfson Latin Nights Society,WLNS,wlns@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Wolfson Howler,,wolfsonhowler@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
CUSU Women's Campaign,,womens@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Women's Basketball Club,CUWBbC,womensbasketball@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Society for World Music,,worldmusic@cusu.cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Cambridge University Whisky Society,CUSWM,sn465@cam.ac.uk,P,Cambridge,Cambridge,YES,27.09.16,John Emmanuel,,
Association of British and Chinese University Students,ABACUS,abacus@cusu.cam.ac.uk,U,Cambridge,CAMBRIDGE,YES,,,,
Rock Society,RockSoc,committee@rocksoc.org.uk,U,Cambridge,CAMBRIDGE,YES,,,,
European Society,CUEuS,cueus@yem.org.uk,U,Cambridge,CAMBRIDGE,YES,,,,
STAR: Student Action for Refugees,,custar-committee@srcf.ucam.org,U,Cambridge,CAMBRIDGE,YES,,,,
The Cambridge Globalist,,editorinchief@cambridgeglobalist.org,U,Cambridge,CAMBRIDGE,YES,,,,
Homerton Amateur Theatrical Society,HATS,hats@cusu.cam.ac.uk,U,Cambridge,CAMBRIDGE,YES,,,,
Cambridge Floorball Club,,info@cambridge-floorball.org.uk,U,Cambridge,CAMBRIDGE,YES,,,,
Cambridge Carbon Footprint,CCF,info@cambridgecarbonfootprint.org,U,Cambridge,CAMBRIDGE,YES,,,,
Cambridge Dancers' Club,CDC,info@cambridgedancers.org,U,Cambridge,CAMBRIDGE,YES,,,,
Ski & Snowboard Club,CUSSC,info@cussc.co.uk,U,Cambridge,CAMBRIDGE,YES,,,,
Labour Club,CULC,labour@cusu.cam.ac.uk,U,Cambridge,CAMBRIDGE,YES,,,,
Cambridge Lindy Hoppers,CLH,lindyhopper@cusu.cam.ac.uk,U,Cambridge,CAMBRIDGE,YES,,,,
Amateur Dramatic Club,CUADC,president@cuadc.org,U,Cambridge,CAMBRIDGE,YES,,,,
Rock 'n' Roll,CURnR,rnr@cambridgedancers.org,U,Cambridge,CAMBRIDGE,YES,,,,
Cambridge City Amnesty International,,secretary@amnestycambridge.org.uk,U,Cambridge,CAMBRIDGE,YES,,,,
Trinity College Music Society,TCMS,secretary@committee.tcms.org.uk,U,Cambridge,CAMBRIDGE,YES,,,,
Cambridge Skeptics In The Pub,SITP,andy@cambridgeskeptics.org.uk,U,Cambridge,CAMBRIDGE,YES,,,,
Bright Club,,andy@thinkoutreach.org,U,Cambridge,CAMBRIDGE,YES,,,,
Wireless Society,CUWS,chairman@g6uw.org,U,Cambridge,CAMBRIDGE,YES,,,,
The Wilberforce Society,TWS,chairman@wilberforcesociety.co.uk,U,Cambridge,CAMBRIDGE,YES,,,,
Cam FM,,committee@camfm.co.uk,U,Cambridge,CAMBRIDGE,YES,,,,
Cambridge Hands-On Science,CHaOS,contact@chaosscience.org.uk,U,Cambridge,CAMBRIDGE,YES,,,,
American Football Society,CUAFS,cuafs@pythons.org.uk,U,Cambridge,CAMBRIDGE,YES,,,,
Cambridge Rebetiko Sessions,,ed.emery@thefreeuniversity.net,U,Cambridge,CAMBRIDGE,YES,,,,
Ceilidh Sessions,,ed.emery@thefreeuniversity.net,U,Cambridge,CAMBRIDGE,YES,,,,
Conference Cambridge,,enquiries@conferencecambridge.com,U,Cambridge,CAMBRIDGE,YES,,,,
Cambridge University Boat Club,,execsec@cubc.org.uk,U,Cambridge,CAMBRIDGE,YES,,,,
Cambridge International Development Conference,,idc@cambridgehub.org,U,Cambridge,CAMBRIDGE,YES,,,,
ADC Theatre,,info@adctheatre.com,U,Cambridge,CAMBRIDGE,YES,,,,
Christ's College Music Society,CCMS,info@christsmusic.org.uk,U,Cambridge,CAMBRIDGE,YES,,,,
C.U. Yacht Club,CUYC,info@cuyc.org.uk,U,Cambridge,CAMBRIDGE,YES,,,,
The King's Bunker,KGB,info@kingsbunker.com,U,Cambridge,CAMBRIDGE,YES,,,,
Pythons American Football Club,CUPAFC,info@pythons.org.uk,U,Cambridge,CAMBRIDGE,YES,,,,
Cambridge Rollerbillies,,info@rollerbillies.com,U,Cambridge,CAMBRIDGE,YES,,,,
RSPCA Cambridge and District Branch,RSPCA,info@rspca-cambridge.org.uk,U,Cambridge,CAMBRIDGE,YES,,,,
King's College King's Mountaineering & Kayaking Association,KMKA,kmka@kcsu.org.uk,U,Cambridge,CAMBRIDGE,YES,,,,
Cambridge Student Community Action,SCA,mail@cambridgesca.org.uk,U,Cambridge,CAMBRIDGE,YES,,,,
American Stage Tour,,manager@castcambridge.com,U,Cambridge,CAMBRIDGE,YES,,,,
Law Society,CULS,president@camlawsoc.com,U,Cambridge,CAMBRIDGE,YES,,,,
Musical Theatre Society,CUMTS,president@cumts.co.uk,U,Cambridge,CAMBRIDGE,YES,,,,
Science & Policy Exchange,CUSPE,president@cuspe.org,U,Cambridge,CAMBRIDGE,YES,,,,
Selwyn College Snowball Committee,SSC,president@selwynsnowball.co.uk,U,Cambridge,CAMBRIDGE,YES,,,,
Newnham College Marketing Society,,soc.marketing@newn.cam.ac.uk,U,Cambridge,CAMBRIDGE,YES,,,,
Cambridge Salsa Team,CST,tam@teamsalsa.co.uk,U,Cambridge,CAMBRIDGE,YES,,,,
Cambridge University Officers' Training Corps,CUOTC,UOTCCambridge-RHQ-Society@mod.uk,U,Cambridge,CAMBRIDGE,YES,,,,
XS Latin Cambridge Formation Teams,XSLatin,contact@xslatin.org,U,Cambridge,CAMBRIDGE,YES,,,,
The Cambridge LCD Hitch,,hitch@lcd.org.uk,U,Cambridge,CAMBRIDGE,YES,,,,
Scientific Society,CUSS-SciSoc,president@scisoc.com,U,Cambridge,CAMBRIDGE,YES,,,,
Adala UK Cambridge,,adalauk@cusu.cam.ac.uk,F,Cambridge,,,,,,
Aegis Students Society,,aegissoc@cusu.cam.ac.uk,F,Cambridge,,,,,,
African Prisons Project,,africanprisons@cusu.cam.ac.uk,F,Cambridge,,,,,,
Ki-Aikido Society,CUKAS,aikido@cusu.cam.ac.uk,F,Cambridge,,,,,,
Barnardo's Society,,barnardos@cusu.cam.ac.uk,F,Cambridge,,,,,,
Bulgarian Society,CUBG,bulgarian@cusu.cam.ac.uk,F,Cambridge,,,,,,
Sexpression UK: Cambridge Branch,,cambridge@sexpression.org.uk,F,Cambridge,,,,,,
Cambridge autonomous Underwater Vehicle,CAUV,cambridgeauv@cusu.cam.ac.uk,F,Cambridge,,,,,,
Cambridge Gaza Solidarity,CGS,cambridgeoccupation@live.com,F,Cambridge,,,,,,
Cambridge Hands Off Venezuela campaign,CHOV,cambridgevenezuela@cusu.cam.ac.uk,F,Cambridge,,,,,,
Campus Children's Holidays,CAMPUS,campus@cusu.cam.ac.uk,F,Cambridge,,,,,,
UAEM Cambridge,,camuaem@cusu.cam.ac.uk,F,Cambridge,,,,,,
Cambridge Zero-Carbon Society,ZeroCarbon,camzest@cusu.cam.ac.uk,F,Cambridge,,,,,,
Cambridge Eastern Education and Development Society,CEEDS,ceeds@cusu.cam.ac.uk,F,Cambridge,,,,,,
Churchill GODS,,churchillgods@cusu.cam.ac.uk,F,Cambridge,,,,,,
Clay Pigeon Shooting Club,CUCPSC,clayshooting@cusu.cam.ac.uk,F,Cambridge,,,,,,
Birding Society,CUBS,cubirds@cusu.cam.ac.uk,F,Cambridge,,,,,,
Chamber Orchestra,CUCO,cuco@cusu.cam.ac.uk,F,Cambridge,,,,,,
Rifle association,CURA,cura@cusu.cam.ac.uk,F,Cambridge,,,,,,
Social Anthropology Film Society,,cusafs@cusu.cam.ac.uk,F,Cambridge,,,,,,
Student Advocates International,SAI,cusai@cusu.cam.ac.uk,F,Cambridge,,,,,,
Steelpan Society,CUSPS,cusps@cusu.cam.ac.uk,F,Cambridge,,,,,,
Women in Leadership,CUWL,cuwl@cusu.cam.ac.uk,F,Cambridge,,,,,,
Drag Hounds,CUDH,draghounds@cusu.cam.ac.uk,F,Cambridge,,,,,,
Defend the Right to Protest,CUDTRTP,dtrtp@cusu.cam.ac.uk,F,Cambridge,,,,,,
Engineering World Health,EWH,engworldhealth@cusu.cam.ac.uk,F,Cambridge,,,,,,
Engineers Without Borders,EWB-Cambridge,CUAPP,F,Cambridge,,,,,,
The Choir of St John's College,,f.williams@joh.cam.ac.uk,F,Cambridge,,,,,,
Friends of the British Overseas territories,FOTBOT,fotbot@cusu.cam.ac.uk,F,Cambridge,,,,,,
Free Tibet Society,,freetibet@cusu.cam.ac.uk,F,Cambridge,,,,,,
The Gender & Feminism Society,GenFemSoc,genfemsoc@cusu.cam.ac.uk,F,Cambridge,,,,,,
Gilbert & Sullivan Society,CUG&S,gilbertandsullivan@cusu.cam.ac.uk,F,Cambridge,,,,,,
Girton College Law Society,GCLS,girtonlawsoc@cusu.cam.ac.uk,F,Cambridge,,,,,,
Giving What We Can: Cambridge,GWWCCam,givingwhatwecan@cusu.cam.ac.uk,F,Cambridge,,,,,,
Hellenic Society,CUHS,hellenic@cusu.cam.ac.uk,F,Cambridge,,,,,,
Autonomous Flight,CUAF,hello@cuaf.co.uk,F,Cambridge,,,,,,
Homerton College Boat Club,HCBC,homertonbcsoc@cusu.cam.ac.uk,F,Cambridge,,,,,,
Harry Potter Society,CUHPS,hpsoc@cusu.cam.ac.uk,F,Cambridge,,,,,,
Impact Investing Society,CUIIS,impactinvestingsoc@cusu.cam.ac.uk,F,Cambridge,,,,,,
Italian Dining Society,CUIDS,italiandiningsoc@cusu.cam.ac.uk,F,Cambridge,,,,,,
Jain Cultural Society,CUJCS,jainsoc@cusu.cam.ac.uk,F,Cambridge,,,,,,
Jewish Society,CUJS,jewish@cusu.cam.ac.uk,F,Cambridge,,,,,,
Kickboxing Society,CUKBS,kickboxing@cusu.cam.ac.uk,F,Cambridge,,,,,,
St John's College Larmor Society,,larmor@cusu.cam.ac.uk,F,Cambridge,,,,,,
Latin American Society,CULS,latinamericansoc@cusu.cam.ac.uk,F,Cambridge,,,,,,
Left Tea Party,LTP,lefttea@cusu.cam.ac.uk,F,Cambridge,,,,,,
Litre of Light [LoL],,litreoflight@cusu.cam.ac.uk,F,Cambridge,,,,,,
League of Legends Society,CULOLS,lolsoc@cusu.cam.ac.uk,F,Cambridge,,,,,,
Cambridge MedSoc,,medical@cusu.cam.ac.uk,F,Cambridge,,,,,,
Association Football Club,CUAFC,mensfootball@cusu.cam.ac.uk,F,Cambridge,,,,,,
Modern Buddhism Society,,modernbuddhism@cusu.cam.ac.uk,F,Cambridge,,,,,,
Cambridge Volunteers in Nepal,CVN,nepal@cusu.cam.ac.uk,F,Cambridge,,,,,,
Orienteering Club,CUOC,orienteering@cusu.cam.ac.uk,F,Cambridge,,,,,,
One World Week Society,OWW,oww@cusu.cam.ac.uk,F,Cambridge,,,,,,
Oxbridge Biotech Roundtable,OBR,oxbridgebiotech@cusu.cam.ac.uk,F,Cambridge,,,,,,
The Oxbridge Dash,,oxbridgedash@cusu.cam.ac.uk,F,Cambridge,,,,,,
Homerton College Absolute Pandemonium Steel Pan Band,,pandemonium@cusu.cam.ac.uk,F,Cambridge,,,,,,
Peterhouse Law Society,,peterhouselawsoc@cusu.cam.ac.uk,F,Cambridge,,,,,,
Philanthropic Society,CUPS,philansoc@cusu.cam.ac.uk,F,Cambridge,,,,,,
Planting Promise,,plantingpromise@cusu.cam.ac.uk,F,Cambridge,,,,,,
Polo Club,CUPC,polo@cusu.cam.ac.uk,F,Cambridge,,,,,,
Finance & Investment Society,CUFIS,president@cufis.co.uk,F,Cambridge,,,,,,
The Cambridge Student Psychology Journal,CSPJ,psychjourn@cusu.cam.ac.uk,F,Cambridge,,,,,,
Robinson College Chapel Choir,,robinsonchoir@cusu.cam.ac.uk,F,Cambridge,,,,,,
Slovenian Society,CUSiS,slovenian@cusu.cam.ac.uk,F,Cambridge,,,,,,
Southeast Asian Forum,CUSEAF,southeastasiaforum@cusu.cam.ac.uk,F,Cambridge,,,,,,
Student Parent Society,CUSPS,studentparents@cusu.cam.ac.uk,F,Cambridge,,,,,,
Tai Chi Chuan Society,CUTCCS,taichi@cusu.cam.ac.uk,F,Cambridge,,,,,,
Ukulele Orchestra,,ukuleleorch@cusu.cam.ac.uk,F,Cambridge,,,,,,
Lacrosse Club: Women's,CUWLC,womenslacrosse@cusu.cam.ac.uk,F,Cambridge,,,,,,
Investment Banking Society,CUIBS,admin@cuibs.org,F,Cambridge,,,,,,
Eurasia Society,CUEurasiaSoc,contact@cueurasiasociety.org,F,Cambridge,,,,,,
Clare Ents,,info@clare-ents.com,F,Cambridge,,,,,,
King's Drama,,info@kingsdrama.co.uk,F,Cambridge,,,,,,
Save the Children Society,CUSTC,savethechildren@cusu.ac.uk,F,Cambridge,,,,,,
Oxbridge Cultural Exchange Project,OCEP,thomas.hayward@ocep.org.uk,F,Cambridge,,,,,,
Cambridge University Astronomical Society,CUAS,"ads79@cam.ac.uk, astronomical@cusu.cam.ac.uk",F,Cambridge,,,,,,
Bangla Society,BanglaSoc,"banglasoc@cusu.cam.ac.uk, cubanglasoc@gmail.com",F,Cambridge,,,,,,
Planet,,"cambridgeplanet@gmail.com, planet@cusu.cam.ac.uk",F,Cambridge,,,,,,
Underwater Exploration Group: Scuba Divers,CUUEG,"chairman@cuueg.org.uk, membership@cuueg.org.uk",F,Cambridge,,,,,,
Eco Racing,CUER,"cuecoracing@cusu.cam.ac.uk, PR@cuer.co.uk",F,Cambridge,,,,,,
Ladies' Netball Club,CULNC,"culnc@cusu.cam.ac.uk, captain@culnc.org",F,Cambridge,,,,,,
Spaceflight,CUSF,"cuspaceflight@cusu.cam.ac.uk, contact@cusf.co.uk",F,Cambridge,,,,,,
Taekwondo Club,CUTKD,"cutkd-committee@srcf.ucam.org, taekwondo@cusu.cam.ac.uk",F,Cambridge,,,,,,
Women's Boat Club,CUWBC,"cuwbc@cusu.cam.ac.uk, president@cuwbc.org",F,Cambridge,,,,,,
French Society,CUFS,"french@cusu.cam.ac.uk, president@frenchsoc.fr, vice-president@frenchsoc.fr, secretary@frenchsoc.fr",F,Cambridge,,,,,,
Gonville Hall Debating Society,GHDS,"gonvilledebate@cusu.cam.ac.uk, jom24@cam.ac.uk, emc72@cam.ac.uk",F,Cambridge,,,,,,
Women in Banking & Finance Society,CUWIBF,"info.wibf@gmail.com, info@cambridgewibf.com, wibf@cusu.cam.ac.uk",F,Cambridge,,,,,,
British Science Association ,CBSA,info@britishscienceassociation-cambridgeshire.org.u,F,Cambridge,,,,,,
Innovation Forum,CUIF,"innovfor@cusu.cam.ac.uk, info@inno-forum.org",F,Cambridge,,,,,,
Islamic Society,CUISoc,"islamic@cusu.cam.ac.uk, information@isoc.co.uk",F,Cambridge,,,,,,
JUNK - Cambridge Drumming Band,,"jmc218@cam.ac.uk, junksoc@cusu.cam.ac.uk",F,Cambridge,,,,,,
Fujian White Crane Kung Fu & Tai Chi,FWC,"karim@fwcinstructors.com, fwckungfu@cusu.cam.ac.uk",F,Cambridge,,,,,,
Mixed Martial Arts,CUMMA,"mma@cusu.cam.ac.uk, daf41@cam.ac.uk",F,Cambridge,,,,,,
Opera Society,CUOS,"opera@cusu.cam.ac.uk, hd317@cam.ac.uk",F,Cambridge,,,,,,
International Development,CUiD,"president@cuid.org, cuid@cusu.cam.ac.uk",F,Cambridge,,,,,,
CUTAZZ Dance Society,,"president@cutazz.com, tapandjazz@cusu.cam.ac.uk, secretary@cutazz.com",F,Cambridge,,,,,,
Cambridge RAG,Cambridge Students' RAG Appeal,"rag@cusu.cam.ac.uk, president@cambridgerag.org.uk",F,Cambridge,,,,,,
Russian Literature Society,CURLS,"ruslit@cusu.cam.ac.uk, info@russianliterature.co.uk",F,Cambridge,,,,,,
All Year Icebreakers: Cambridge Safer Spaces Waterfighting & Sheila and Her Dog Chainwriting,,"sheila@srcf.ucam.org, cssw@srcf.ucam.org",F,Cambridge,,,,,,
Spectre: A Space for Radical and Critical Comment,,"spectremagazine@cusu.cam.ac.uk, spectre.cambridge@yahoo.co.uk",F,Cambridge,,,,,,
Stop The War Coalition,,"stopthewar@cusu.cam.ac.uk, cambridge@stopwar.org.uk",F,Cambridge,,,,,,
The Cambridge Nutter Comedy Magazine,TCN,"thenutter@outlook.com, thenutter@cusu.cam.ac.uk",F,Cambridge,,,,,,
Australian & New Zealand Society,CUANZ,anz@cusu.cam.ac.uk,F,Cambridge,,,,,,
Cadenza,,cadenza@cusu.cam.ac.uk,F,Cambridge,,,,,,
Chinese Calligraphy Society,,callisoc@cusu.cam.ac.uk,F,Cambridge,,,,,,
Cambridge University Hockey Club,CUHC,ceb200@cam.ac.uk,F,Cambridge,,,,,,
Christian Aid Society,,christianaidsociety@cusu.cam.ac.uk,F,Cambridge,,,,,,
Clare Politics,,clarepolitics@cusu.cam.ac.uk,F,Cambridge,,,,,,
The Cambridge University Society for Women Lawyers,,cw561@cam.ac.uk,F,Cambridge,,,,,,
CUSU Ethical Affairs,,green@cusu.cam.ac.uk,F,Cambridge,,,,,,
CUSU Higher Education Funding Campaign,,he-funding@cusu.cam.ac.uk,F,Cambridge,,,,,,
Cambridge Libertarians,CamLib,info@cambridgelibertarians.org.uk,F,Cambridge,,,,,,
Ivory Tower Society,ITS,ivorytower@cusu.cam.ac.uk,F,Cambridge,,,,,,
Exploring Latin America Society,LatinCultura,latincultura@cusu.cam.ac.uk,F,Cambridge,,,,,,
Cambridge Student Liberal Democrats,CSLD,libdems@cusu.cam.ac.uk,F,Cambridge,,,,,,
Guild of Change Ringers,CUGCR,master@cugcr.org.uk,F,Cambridge,,,,,,
Oxbridge Summer Camps Abroad,OSCA,osca@cusu.cam.ac.uk,F,Cambridge,,,,,,
Pembroke Poetry Society,,pemsoc@cusu.cam.ac.uk,F,Cambridge,,,,,,
Cambridge Society for Economics Pluralism,,president@cambridgepluralism.org,F,Cambridge,,,,,,
Queens and Clare Overseas Education Fund,QCOEF,qcoef@cusu.cam.ac.uk,F,Cambridge,,,,,,
Real Estate Finance & Investment Society,CUREFIS,secretary@curefis.com,F,Cambridge,,,,,,
Sign Language Society,CUSLS,signsoc@cusu.cam.ac.uk,F,Cambridge,,,,,,
Community Affairs,,sophie.smith@admin.cam.ac.uk,F,Cambridge,,,,,,
Students Supporting Street Kids,SSSKcam,streetkids@cusu.cam.ac.uk,F,Cambridge,,,,,,
TEDx Society,,tedxcamuni@cusu.cam.ac.uk,F,Cambridge,,,,,,
Yugosphere Society,CUYUS,yugosoc@cusu.cam.ac.uk,F,Cambridge,,,,,,
